85,2020-05-22 09:43:02,,"@zoot_za @Fairydust6906 @Eusebius Tell me about HR6666 and WO 2020 060606 and why do they have the 666 antichrist number? Also tell me why corona =666 and why PANdemic is named after the goat god pan aka baphomet, the god of the antichrist.Tell me why the 3rd temple is about to be built for the antichrist?"
86,2020-05-22 09:42:44,"Maharashtra, India","In current #Coronavirus #Covid19 situation BJP4Maharashtra leaders becoming power greedy by doing dirty politics, instead of helping Government to win virus pandemic. @narendramodi should expell such leaders who spoil party image #महाराष्ट्रद्रोहीBJP @BBCWorld @EU_Commission"
87,2020-05-22 09:42:34,South Africa,"#FactFriday: What is public participation in local governance &amp; what happens to it during the coronavirus pandemic?

i) According to government legislation (Municipal Systems Act) municipalities must consult with communities on key matters of concern in the municipality. #COVID19"
88,2020-05-22 09:42:30,Look up at the night sky,@BryanJonesDiary @OffGuardian0 @PiersRobinson1 @aier It is well established Covid-19 kills and should the conditions revert to the beginning of the pandemic and there is a rapid rise in hospitalisations then you are back to square one - so what are you proposing to do that is different from what has been proven to work?
89,2020-05-22 09:42:18,"Maharashtra, India","In current #Coronavirus #Covid19 situation BJP4Maharashtra leaders becoming power greedy by doing dirty politics,instead of helping Government to win virus pandemic. @narendramodi should expell such leader from party who spoil party image #महाराष्ट्रद्रोहीBJP @BBCWorld @YahooNews"
90,2020-05-22 09:42:11,,"In the light of this Covid-19 pandemic, may this bill be considered and approved to give us Filipinos hope in facing this current health situation and to be prepared for future health challenges to come. #ScienceForThePeople #DOSTREPORT"
91,2020-05-22 09:41:08,Cambridge,"The Vice-Chancellor is right that a ‘fundamental shift’ is needed following the COVID-19 pandemic but this shift must be in favour of the academics, workers and students who make up the university, not against them."
92,2020-05-22 09:40:34,"Maharashtra, India","In current #Coronavirus #Covid19 situation BJP4Maharashtra leaders becoming power greedy by doing dirty politics, instead of helping Government to win virus pandemic. @narendramodi should expell such leader from party who spoil party image #महाराष्ट्रद्रोहीBJP @BBCWorld @SABCNews"
93,2020-05-22 09:40:33,"Maharashtra, India","In current #Coronavirus #Covid19 situation BJP4Maharashtra leaders becoming power greedy by doing dirty politics, instead of helping Government to win virus pandemic. @narendramodi should expell such leaders who spoil party image #महाराष्ट्रद्रोहीBJP @BBCWorld @The_Japan_News"
94,2020-05-22 09:40:30,"Maharashtra, India","In current #Coronavirus #Covid19 situation BJP4Maharashtra leaders becoming power greedy by doing dirty politics, instead of helping Government to win virus pandemic. @narendramodi should expell such leaders who spoil party image #महाराष्ट्रद्रोहीBJP @BBCWorld @AFP @France24_en"
95,2020-05-22 09:40:23,"Nangka, Balamban, Cebu","rites due to the COVID-19 pandemic, but the virus cannot invalidate the efforts you have invested for years in order to achieve this milestone. This is still your sweetest day, Graduates! Keep soaring new heights while you remain safe.

Until we meet again!"
96,2020-05-22 09:39:58,,"40 DOST personnel volunteer as frontliners to help fight Covid-19 pandemic
#ScienceForThePeople
#DOSTREPORT"
97,2020-05-22 09:39:51,,"@NUJS_Speaks @barandbench Grover says that while the entire country is going through some degree of lockdown as of now owing to the COVID-19 pandemic, there can yet be no parity with what Jammu and Kashmir, especially the Kashmir valley went through.

@NUJS_Speaks #VrindaGrover #Kashmir #Lockdown"
98,2020-05-22 09:39:35,"नई दिल्ली, भारत","@capitalcalculus @smitaprakash @htTweets अभी पिक्चर बाकी है मेरे दोस्त। 
1000 case per day in coming days is a scary thought but the COVID19 will take it's own course as it has done in other countries. We need to be vigilant and have cautious approach to this pandemic. We need to focus on hygiene and sanitation."
99,2020-05-22 09:39:30,"Durham, New York","Today is the 73rd day of the COVID-19 pandemic in the U.S., and trump still hasn’t provided an adequate testing strategy. (96,008 dead Americans as a result of this disease)"
100,2020-05-22 09:38:54,"Melbourne, Australia",Just want to say. When it's a management PR exercise @ScottMorrisonMP front and centre. So in #Covid_19 pandemic @greghunt lucky to be on podium. But when it is the biggest govt fuckup in #australia ever. @JoshFrydenberg do it on your own. LOL. #auspol
101,2020-05-22 09:38:53,"London, England",@ProfKarolSikora I saw your superb #coronavirus interview with @Unherd and was amazed @Youtube banned it as unsuitable. Who lodged the complaint? I assume an interested party: there are huge sums to be made out of #COVID19 and some may not want the pandemic to be treated as over.
102,2020-05-22 09:38:47,"Ringwood, Hampshire UK",Thank you @TalbotTrust for their donation toward inclusive VR equipment designed for the special education classroom. The Covid-19 pandemic disrupts our students real-life opportunities and learning in the wider community so this equipment is valuable teaching aid. #SEND #Autism
